date,state,cases
02-05-2020,ca,53753
03-05-2020,ca,55072
04-05-2020,ca,56333
05-05-2020,ca,58848
06-05-2020,ca,60787
07-05-2020,ca,62481
08-05-2020,ca,64616
09-05-2020,ca,66824
10-05-2020,ca,68051
11-05-2020,ca,69514
12-05-2020,ca,71150
13-05-2020,ca,73218
14-05-2020,ca,74947
15-05-2020,ca,77015
16-05-2020,ca,78933
17-05-2020,ca,80366
18-05-2020,ca,81943
19-05-2020,ca,83981
20-05-2020,ca,86125
21-05-2020,ca,88488
22-05-2020,ca,90801
23-05-2020,ca,92815
24-05-2020,ca,94743
25-05-2020,ca,97017
26-05-2020,ca,99924
27-05-2020,ca,101873
28-05-2020,ca,104071
